time,open,high,low,close
1672531200,16530,16532,16507,16521
1672534800,16520,16542,16519,16542
1672538400,16540,16546,16532,16537
1672542000,16537,16537,16515,16522
1672545600,16523,16523,16509,16509
1672549200,16512,16519,16507,16518
1672552800,16519,16535,16519,16530
1672556400,16531,16533,16496,16517
1672560000,16517,16521,16501,16504
1672563600,16504,16529,16498,16529
1672567200,16527,16533,16524,16533
1672570800,16533,16544,16532,16544
1672574400,16544,16560,16544,16555
1672578000,16555,16559,16537,16541
1672581600,16544,16550,16540,16542
1672585200,16542,16546,16535,16546
1672588800,16546,16569,16546,16558
1672592400,16562,16586,16557,16572
1672596000,16573,16592,16573,16584
1672599600,16588,16612,16588,16597
1672603200,16597,16617,16594,16602
1672606800,16603,16603,16592,16602
1672610400,16603,16604,16590,16599
1672614000,16599,16622,16599,16615
1672617600,16615,16620,16584,16584
1672621200,16584,16584,16552,16561
1672624800,16560,16582,16556,16582
1672628400,16582,16688,16579,16661
1672632000,16660,16664,16630,16631
1672635600,16631,16648,16618,16641
1672639200,16642,16650,16633,16636
1672642800,16636,16746,16632,16718
1672646400,16716,16752,16710,16725
1672650000,16728,16738,16710,16712
1672653600,16712,16744,16706,16723
1672657200,16723,16730,16706,16730
1672660800,16730,16735,16718,16718
1672664400,16718,16719,16682,16688
1672668000,16689,16700,16672,16695
1672671600,16696,16739,16691,16727
1672675200,16732,16734,16708,16709
1672678800,16708,16715,16706,16709
1672682400,16709,16722,16704,16718
1672686000,16718,16728,16711,16727
1672689600,16728,16730,16706,16724
1672693200,16724,16782,16719,16751
1672696800,16753,16755,16690,16694
1672700400,16693,16716,16665,16673
1672704000,16668,16700,16655,16694
1672707600,16691,16691,16654,16672
1672711200,16672,16681,16668,16673
1672714800,16672,16694,16666,16689
1672718400,16690,16694,16682,16687
1672722000,16683,16720,16682,16720
1672725600,16720,16766,16720,16723
1672729200,16724,16727,16712,16727
1672732800,16727,16730,16699,16711
1672736400,16711,16748,16710,16736
1672740000,16741,16745,16722,16723
1672743600,16723,16728,16708,16716
1672747200,16715,16718,16702,16703
1672750800,16702,16728,16702,16723
1672754400,16722,16764,16646,16657
1672758000,16654,16676,16614,16673
1672761600,16672,16678,16611,16617
1672765200,16614,16632,16605,16620
1672768800,16621,16646,16621,16638
1672772400,16639,16645,16621,16635
1672776000,16635,16660,16635,16657
1672779600,16657,16666,16653,16658
1672783200,16660,16666,16648,16666
1672786800,16666,16684,16666,16670
1672790400,16673,16673,16652,16655
1672794000,16655,16718,16653,16695
1672797600,16695,16740,16695,16733
1672801200,16730,16867,16730,16860
1672804800,16865,16896,16850,16860
