feature,importance
MA_100,0.0972616465055906
MA_50,0.09136392530792437
volatility_20,0.08414562323075798
MA_20,0.08040207684840803
volatility_10,0.07597864003945032
MA_10,0.07563646356909605
MA_5,0.07503246892076355
high_low_range,0.062058539454897206
MACD_diff,0.0421161043152395
MACD_signal,0.04086070791604542
trend_50,0.03854775449994607
MACD,0.03635733138029666
price_change_24h,0.03577775691424843
trend_20,0.02873943021616367
RSI_14,0.02550603046029155
BB_position,0.022544781164476575
RSI_7,0.020378574940595057
price_change_4h,0.01937110731722424
trend_5,0.01874675657129092
price_change_1h,0.015314253131835402
close_position,0.013860027295458346
