feature,importance
volatility_50,151
momentum_48h,128
momentum_72h,124
trend_100,123
BB_width_50,118
MA_50,109
momentum_24h,103
volatility_20,101
day_sin,100
ATR_28,97
candle_body,95
MA_5,92
close_position,90
ADX_14,87
hl_range_pct,86
MA_100,85
BB_width_20,85
RSI_28,85
lower_shadow,83
ATR_14,76
RSI_14,75
EMA_50,74
RSI_7,73
upper_shadow,72
MA_20_4h,69
CCI_20,69
BB_position_50,68
MACD_diff,67
EMA_26,67
MACD_signal,66
trend_50,63
Stochastic_D,62
Stochastic_K,62
volatility_10,61
hl_range,59
trend_20,51
MACD,50
momentum_4h,49
EMA_12,49
day_cos,47
momentum_12h,43
MA_20,33
BB_position_20,32
Williams_R,32
hour_sin,30
trend_5,30
MA_10,29
hour_cos,16
