feature,importance
day_cos,0.20214555804005602
volatility_50,0.18138552383311107
vol_ratio_short_long,0.14053667197420475
volatility_20,0.13705950631533262
RSI_7,0.12153097115867903
MACD_diff,0.10512565210077462
close_position,0.10471337126348942
RSI_14,0.10444044866892478
momentum_24h,0.1040940906453137
momentum_1h,0.1001953141714565
volatility_10,0.0943051900495314
momentum_4h,0.08163318382044804
hl_range_pct,0.08098165390185436
BB_width,0.07300353237250291
hl_range,0.07219390591883998
volume_proxy,0.07157482904996602
MA_50,0.06851318094662058
BB_upper,0.06487877777471444
trend_strength_5,0.06155607386566604
BB_lower,0.05825456509857019
momentum_12h,0.054704989126768515
MACD_signal,0.05412823872208481
day_sin,0.05365447268672279
MACD,0.05326035396467927
RSI_28,0.053079361934555674
MA_100,0.047737156781293616
trend_strength_50,0.04753317741970498
trend_strength_20,0.042217296915470215
close,0.04004759109744105
BB_position,0.03653721464284837
hour_sin,0.0338242911151285
hour_cos,0.022754693158273012
open,0.01906333294365567
MA_20,0.018047890783557632
high,0.01798535814565116
MA_5,0.01692085263286233
low,0.015910044578987557
MA_10,0.015301014853444974
