model,fold,accuracy,precision,recall,win_rate,n_signals
Ridge,1,0.6,0.6132075471698113,0.8783783783783784,0.6132075471698113,212
Ridge,2,0.58,0.5933333333333334,0.6691729323308271,0.5933333333333334,150
Ridge,3,0.5,0.5816326530612245,0.40425531914893614,0.5816326530612245,98
Ridge,4,0.624,0.6037735849056604,0.7559055118110236,0.6037735849056604,159
Ridge,5,0.668,0.5471698113207547,0.32954545454545453,0.5471698113207547,53
RandomForest,1,0.552,0.6168831168831169,0.6418918918918919,0.6168831168831169,154
RandomForest,2,0.592,0.5748792270531401,0.8947368421052632,0.5748792270531401,207
RandomForest,3,0.484,0.5625,0.3829787234042553,0.5625,96
RandomForest,4,0.584,0.5688622754491018,0.7480314960629921,0.5688622754491018,167
RandomForest,5,0.692,0.6078431372549019,0.3522727272727273,0.6078431372549019,51
GradientBoosting,1,0.508,0.6068376068376068,0.4797297297297297,0.6068376068376068,117
GradientBoosting,2,0.576,0.576271186440678,0.7669172932330827,0.576271186440678,177
GradientBoosting,3,0.512,0.5979381443298969,0.41134751773049644,0.5979381443298969,97
GradientBoosting,4,0.584,0.5642458100558659,0.7952755905511811,0.5642458100558659,179
GradientBoosting,5,0.664,0.5370370370370371,0.32954545454545453,0.5370370370370371,54
XGBoost,1,0.6,0.6481481481481481,0.7094594594594594,0.6481481481481481,162
XGBoost,2,0.6,0.5873015873015873,0.8345864661654135,0.5873015873015873,189
XGBoost,3,0.516,0.631578947368421,0.3404255319148936,0.631578947368421,76
XGBoost,4,0.572,0.5641025641025641,0.6929133858267716,0.5641025641025641,156
XGBoost,5,0.668,0.5454545454545454,0.3409090909090909,0.5454545454545454,55
LightGBM,1,0.584,0.6864406779661016,0.5472972972972973,0.6864406779661016,118
LightGBM,2,0.564,0.5659340659340659,0.7744360902255639,0.5659340659340659,182
LightGBM,3,0.488,0.6031746031746031,0.2695035460992908,0.6031746031746031,63
LightGBM,4,0.604,0.5843373493975904,0.7637795275590551,0.5843373493975904,166
LightGBM,5,0.68,0.5869565217391305,0.3068181818181818,0.5869565217391305,46
